company,category,size,title,level,city,url,updated,filename
Riverside.fm,AI/ML,l,AI Research Engineer,Scientist,תל אביב - יפו,https://www.comeet.com/jobs/riverside-fm/66.009/ai-research-engineer/0E.646?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/data-science.csv
Exodigo,Robotics & Automation,m,Algorithm Developer,Scientist,תל אביב - יפו,https://www.comeet.com/jobs/exodigo/89.005/algorithm-developer/B8.649?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/data-science.csv
Riskified,Fintech,l,Data Scientist,Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/data-scientist-at-riskified-4054953908?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/data-science.csv
Fairmatic,Fintech,l,Senior Data Scientist,Scientist,רמת גן,https://il.linkedin.com/jobs/view/senior-data-scientist-at-fairmatic-4011441421?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/data-science.csv
Mend,Cybersecurity,l,Code Analysis Algorithms Developer,Scientist,כרמיאל,https://il.linkedin.com/jobs/view/code-analysis-algorithms-developer-at-mend-io-4055390746?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/data-science.csv
DeepKeep,Cybersecurity,s,Engineering Team Leader - AI Security,Manager,רחובות,https://il.linkedin.com/jobs/view/engineering-team-leader-ai-security-at-deepkeep-4054916243?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/data-science.csv
Yahoo!,Digital Media,xl,Software Dev Engineer - ML Infrastructure,Scientist,רמת גן,https://il.linkedin.com/jobs/view/software-dev-engineer-ml-infrastructure-at-yahoo-4036666096?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/data-science.csv
AI21 Labs,AI/ML,l,Algorithm Developer,Scientist,תל אביב - יפו,https://www.comeet.com/jobs/ai21/E6.001/algorithm-developer/B3.F33?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-21,jobs/data-science.csv
Fetcherr,AI/ML,m,Data Scientist Team Lead,Manager,נתניה,https://www.comeet.com/jobs/fetcherr/68.006/data-scientist-team-lead/30.94A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-21,jobs/data-science.csv
eToro,Fintech,l,Data Science /Machine Learning Expert,Scientist,בני ברק,https://www.comeet.com/jobs/etoro/41.009/data-science-machine-learning-expert/85.B4A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-21,jobs/data-science.csv
WalkMe,Productivity,l,Backend Engineer - Algorithm team,Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/backend-engineer-algorithm-team-at-walkme%E2%84%A2-3993246062?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-21,jobs/data-science.csv
Shield.,Fintech,m,Senior Data Scientist,Scientist,מרחביה (קיבוץ),https://il.linkedin.com/jobs/view/senior-data-scientist-at-shield-4056149616?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-21,jobs/data-science.csv
Rail Vision,AI/ML,m,Algorithms Team Lead,Manager,רעננה,https://il.linkedin.com/jobs/view/algorithms-team-lead-at-rail-vision-ltd-3960497597?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-21,jobs/data-science.csv
Mobileye,Automotive,l,Execution Manager for Algorithm Validation Department,Manager,ירושלים,https://il.linkedin.com/jobs/view/execution-manager-for-algorithm-validation-department-at-mobileye-4054599394?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-21,jobs/data-science.csv
Amdocs,Telecommunications,l,GenAI Team Lead,Manager,רעננה,https://il.linkedin.com/jobs/view/genai-team-lead-at-amdocs-4019666692?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-21,jobs/data-science.csv
Tastewise,AI/ML,m,Data Scientist,Scientist,תל אביב - יפו,https://www.comeet.com/jobs/tastewise/F8.000/data-scientist/2D.742?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-20,jobs/data-science.csv
Darrow,AI/ML,m,Data Science Team Lead,Manager,תל אביב - יפו,https://il.linkedin.com/jobs/view/data-science-team-lead-at-darrow-ai-4055613549?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-20,jobs/data-science.csv
